date;age;stream;hours;work;instr;compose;favgenre;explore;lang;classical;country;edm;folk;gospel;hiphop;jazz;kpop;latin;lofi;metal;pop;rnb;rap;rock;videogame;anxiety;depression;insomnia;ocd;effect;Acepto
2024/08/06 7:13:48 p.Â m. EEST;30;No suelo utilizar servicios de streaming;0.5;No;No;No;Rock;No;S’;Rara vez;A veces;Nunca;Con frecuencia;Nunca;Nunca;A veces;Nunca;Nunca;A veces;Nunca;Con frecuencia;Nunca;Nunca;Con frecuencia;Nunca;4;2;1;0;Mejoran;Acepto
2024/08/06 8:14:45 p.Â m. EEST;30;Spotify;9;S’;No;No;Rock;S’;S’;Nunca;Nunca;Nunca;Nunca;Nunca;Nunca;Nunca;Nunca;Con frecuencia;Nunca;Nunca;A veces;Nunca;Nunca;Con frecuencia;Nunca;2;1;2;0;Mejoran;Acepto
2024/08/06 8:21:39 p.Â m. EEST;23;Spotify;1;S’;S’;No;Latina;S’;S’;Rara vez;Rara vez;Nunca;Con frecuencia;Rara vez;Con frecuencia;Rara vez;Nunca;Con frecuencia;Nunca;Con frecuencia;Con frecuencia;A veces;Con frecuencia;Con frecuencia;Nunca;6;6;2;0;Mejoran;Acepto
2024/08/06 8:24:38 p.Â m. EEST;24;Spotify;1;No;No;No;Pop;S’;No;Nunca;Nunca;Nunca;Nunca;Nunca;Con frecuencia;A veces;Con frecuencia;Nunca;Nunca;Nunca;A veces;Nunca;Nunca;Nunca;Nunca;2;0;2;0;Mejoran;Acepto
2024/08/06 8:28:27 p.Â m. EEST;30;Otros;2;No;No;No;Hip hop;S’;No;A veces;Rara vez;Con frecuencia;Rara vez;Rara vez;Con frecuencia;A veces;Rara vez;Con frecuencia;A veces;Con frecuencia;Rara vez;Rara vez;Con frecuencia;Con frecuencia;A veces;7;7;0;7;Mejoran;Acepto
2024/08/06 8:29:46 p.Â m. EEST;30;Spotify;1;No;No;No;Pop;No;S’;Nunca;Nunca;Nunca;Nunca;Nunca;Nunca;Nunca;Nunca;Con frecuencia;Nunca;Nunca;Con frecuencia;Nunca;Nunca;A veces;Nunca;6;0;2;3;Apenas noto efecto;Acepto
2024/08/06 8:35:04 p.Â m. EEST;58;Otros;4;No;No;No;Rock;No;S’;A veces;Rara vez;Nunca;Nunca;Nunca;Nunca;Nunca;Nunca;A veces;Nunca;A veces;A veces;Nunca;Nunca;A veces;Nunca;0;0;0;1;Mejoran;Acepto
2024/08/06 8:36:53 p.Â m. EEST;35;Youtube Music;2;No;No;No;Latina;S’;No;Nunca;Rara vez;Nunca;Nunca;Nunca;Nunca;Rara vez;Nunca;Con frecuencia;Nunca;Nunca;Con frecuencia;Nunca;Nunca;Rara vez;Rara vez;6;1;3;2;Mejoran;Acepto
2024/08/06 8:37:52 p.Â m. EEST;49;Youtube Music;13;No;No;No;Pop;No;No;Nunca;Nunca;Nunca;Nunca;Nunca;Con frecuencia;Nunca;Nunca;Nunca;Nunca;Nunca;Con frecuencia;Nunca;Nunca;A veces;Nunca;3;3;2;3;Mejoran;Acepto
2024/08/06 8:37:56 p.Â m. EEST;30;Spotify;5;No;No;No;Pop;S’;S’;A veces;Rara vez;Rara vez;Rara vez;Rara vez;Rara vez;Rara vez;Rara vez;Rara vez;Rara vez;Rara vez;Con frecuencia;Rara vez;Rara vez;Rara vez;Nunca;8;5;6;8;Mejoran;Acepto
2024/08/06 8:40:04 p.Â m. EEST;31;Youtube Music;2;No;No;No;Pop;S’;No;Nunca;Nunca;Nunca;Nunca;Nunca;Nunca;Nunca;Nunca;Con frecuencia;Nunca;Nunca;Con frecuencia;Nunca;Nunca;A veces;A veces;2;0;2;0;Mejoran;Acepto
2024/08/06 8:40:08 p.Â m. EEST;29;No suelo utilizar servicios de streaming;9;S’;S’;S’;Lo-Fi;S’;S’;A veces;Rara vez;Nunca;A veces;Nunca;Rara vez;A veces;Nunca;Nunca;Con frecuencia;Rara vez;A veces;Rara vez;Rara vez;Con frecuencia;Rara vez;9;4;1;0;Mejoran;Acepto
2024/08/06 8:40:18 p.Â m. EEST;56;Spotify;1;No;No;No;Pop;No;S’;Rara vez;Rara vez;Rara vez;Rara vez;Rara vez;Rara vez;Rara vez;Rara vez;Con frecuencia;Rara vez;Rara vez;Con frecuencia;A veces;Nunca;Rara vez;Nunca;1;1;1;1;Mejoran;Acepto
2024/08/06 8:41:15 p.Â m. EEST;39;Spotify;2;S’;No;No;Rock;S’;S’;Con frecuencia;Rara vez;Nunca;Nunca;Nunca;Con frecuencia;Nunca;Nunca;A veces;Nunca;Nunca;A veces;Nunca;A veces;Con frecuencia;Nunca;7;6;5;5;Mejoran;Acepto
2024/08/06 8:41:40 p.Â m. EEST;20;No suelo utilizar servicios de streaming;3;No;S’;S’;Rock;S’;S’;Rara vez;Nunca;Nunca;A veces;Nunca;Nunca;Rara vez;Nunca;Nunca;A veces;A veces;Rara vez;Nunca;Nunca;Con frecuencia;Nunca;5;5;3;0;Mejoran;Acepto
2024/08/06 8:42:52 p.Â m. EEST;31;Spotify;0.5;No;No;No;Pop;No;S’;Rara vez;Nunca;Nunca;Nunca;Rara vez;A veces;Rara vez;Rara vez;A veces;A veces;A veces;Con frecuencia;Con frecuencia;Con frecuencia;Con frecuencia;Con frecuencia;5;4;2;10;Mejoran;Acepto
2024/08/06 8:44:00 p.Â m. EEST;23;Youtube Music;2;No;No;No;Pop;No;No;Nunca;Nunca;Rara vez;Nunca;Nunca;A veces;Nunca;Nunca;A veces;Nunca;Rara vez;Con frecuencia;A veces;Rara vez;A veces;Nunca;3;3;3;3;Apenas noto efecto;Acepto
2024/08/06 8:44:33 p.Â m. EEST;45;Otros;2.5;S’;No;No;Latina;No;S’;A veces;Rara vez;Nunca;Rara vez;Rara vez;Rara vez;Rara vez;Nunca;A veces;Nunca;Rara vez;A veces;A veces;Rara vez;A veces;Nunca;1;2;1;0;Mejoran;Acepto
2024/08/06 8:46:35 p.Â m. EEST;32;No suelo utilizar servicios de streaming;8.5;S’;No;No;EDM;No;S’;Rara vez;Rara vez;Con frecuencia;Nunca;Nunca;Con frecuencia;Con frecuencia;A veces;Con frecuencia;Rara vez;A veces;Con frecuencia;A veces;A veces;A veces;Nunca;8;7;5;6;Apenas noto efecto;Acepto
2024/08/06 8:48:01 p.Â m. EEST;29;Youtube Music;4;S’;S’;S’;Rock;S’;S’;A veces;Con frecuencia;A veces;Rara vez;Rara vez;Con frecuencia;Rara vez;Nunca;Nunca;Rara vez;Con frecuencia;Con frecuencia;A veces;Con frecuencia;Con frecuencia;Nunca;10;2;9;0;Mejoran;Acepto
2024/08/06 8:49:27 p.Â m. EEST;31;Spotify;4;S’;S’;No;Pop;S’;No;A veces;A veces;Rara vez;Rara vez;Rara vez;Rara vez;Rara vez;A veces;Con frecuencia;Nunca;Rara vez;Con frecuencia;Nunca;Nunca;A veces;Rara vez;2;0;2;0;Mejoran;Acepto
2024/08/06 8:55:08 p.Â m. EEST;31;Spotify;2.5;S’;S’;No;Rock;S’;No;Rara vez;Rara vez;Nunca;Nunca;Rara vez;Rara vez;A veces;Nunca;Con frecuencia;Nunca;Rara vez;Con frecuencia;A veces;A veces;Con frecuencia;Nunca;3;2;1;2;Mejoran;Acepto
2024/08/06 8:57:17 p.Â m. EEST;29;Youtube Music;0.5;S’;No;No;Pop;No;S’;A veces;Rara vez;Nunca;Nunca;Nunca;Rara vez;Nunca;Nunca;Rara vez;Nunca;Rara vez;Con frecuencia;A veces;Rara vez;A veces;Rara vez;1;1;1;1;Apenas noto efecto;Acepto
2024/08/06 8:59:36 p.Â m. EEST;31;Spotify;1.5;No;No;No;Rock;No;S’;Nunca;Nunca;Nunca;Nunca;Nunca;Nunca;Nunca;Nunca;Con frecuencia;Nunca;Con frecuencia;Con frecuencia;Nunca;Nunca;Con frecuencia;Nunca;6;1;3;8;Mejoran;Acepto
2024/08/06 8:59:53 p.Â m. EEST;30;Youtube Music;3.5;S’;No;No;Pop;No;S’;Rara vez;Nunca;Nunca;Nunca;Nunca;Nunca;Nunca;Nunca;A veces;Nunca;Nunca;Con frecuencia;Nunca;Rara vez;Con frecuencia;Rara vez;2;2;0;0;Mejoran;Acepto
2024/08/06 9:12:32 p.Â m. EEST;32;Spotify;3;S’;No;No;Rock;S’;S’;A veces;Nunca;Nunca;Nunca;Nunca;Rara vez;Nunca;Nunca;Con frecuencia;Con frecuencia;Rara vez;Con frecuencia;Nunca;Rara vez;Con frecuencia;A veces;1;0;0;0;Mejoran;Acepto
2024/08/06 9:17:08 p.Â m. EEST;34;Spotify;3;S’;S’;S’;Rock;S’;S’;Rara vez;A veces;A veces;A veces;Nunca;A veces;A veces;Nunca;Nunca;A veces;Rara vez;Con frecuencia;Rara vez;Con frecuencia;Con frecuencia;Rara vez;7;4;9;1;Apenas noto efecto;Acepto
2024/08/06 9:26:18 p.Â m. EEST;29;Spotify;3;No;No;No;Latina;S’;S’;Nunca;Rara vez;Nunca;Rara vez;Rara vez;A veces;Nunca;Nunca;Con frecuencia;A veces;Nunca;Con frecuencia;A veces;Rara vez;Rara vez;Nunca;8;7;6;0;Mejoran;Acepto
2024/08/06 9:28:04 p.Â m. EEST;29;Spotify;2.5;No;No;No;R&B;S’;S’;Rara vez;Rara vez;Nunca;Rara vez;Rara vez;A veces;Nunca;Nunca;Con frecuencia;Rara vez;Nunca;Con frecuencia;Con frecuencia;A veces;Rara vez;Nunca;10;10;10;10;Apenas noto efecto;Acepto
2024/08/06 9:29:55 p.Â m. EEST;30;Youtube Music;1;S’;No;No;Pop;No;S’;Rara vez;Nunca;Rara vez;Nunca;Nunca;Nunca;Nunca;Con frecuencia;A veces;Nunca;Nunca;Con frecuencia;Nunca;Nunca;Rara vez;Nunca;7;1;1;1;Mejoran;Acepto
2024/08/06 9:32:30 p.Â m. EEST;37;Spotify;1;No;No;S’;Pop;S’;S’;Rara vez;Rara vez;Nunca;A veces;A veces;A veces;Rara vez;Rara vez;Con frecuencia;Nunca;Rara vez;Con frecuencia;Con frecuencia;A veces;A veces;Rara vez;3;4;1;0;Mejoran;Acepto
2024/08/06 9:35:49 p.Â m. EEST;35;Spotify;2;No;No;No;Rock;S’;S’;Rara vez;Rara vez;A veces;Rara vez;Nunca;A veces;A veces;Nunca;A veces;A veces;Con frecuencia;A veces;Rara vez;A veces;Con frecuencia;Con frecuencia;8;4;7;0;Mejoran;Acepto
2024/08/06 9:37:59 p.Â m. EEST;27;Spotify;0.5;No;No;No;Rock;S’;S’;A veces;Rara vez;Rara vez;Rara vez;Nunca;Rara vez;A veces;Rara vez;A veces;A veces;Con frecuencia;Con frecuencia;A veces;A veces;Con frecuencia;A veces;3;2;0;3;Apenas noto efecto;Acepto
2024/08/06 9:41:41 p.Â m. EEST;26;Youtube Music;0.25;No;No;No;Pop;No;No;Rara vez;Nunca;Nunca;Rara vez;Nunca;Nunca;A veces;Nunca;Con frecuencia;Nunca;Rara vez;Con frecuencia;Nunca;Nunca;A veces;Rara vez;7;4;2;7;Apenas noto efecto;Acepto
2024/08/06 9:53:59 p.Â m. EEST;31;Spotify;8;S’;S’;No;Rock;S’;S’;Rara vez;Con frecuencia;Rara vez;A veces;Nunca;Rara vez;Rara vez;A veces;Con frecuencia;Rara vez;Con frecuencia;Con frecuencia;Rara vez;Rara vez;Con frecuencia;Con frecuencia;5;0;0;5;Mejoran;Acepto
2024/08/06 10:01:41 p.Â m. EEST;31;Spotify;6;S’;No;No;Pop;S’;No;Rara vez;A veces;Con frecuencia;Rara vez;Rara vez;Nunca;Rara vez;A veces;Con frecuencia;Rara vez;Nunca;Con frecuencia;A veces;Rara vez;A veces;A veces;8;5;0;5;Apenas noto efecto;Acepto
2024/08/06 10:22:18 p.Â m. EEST;35;No suelo utilizar servicios de streaming;1;No;S’;No;Rock;S’;S’;Rara vez;Rara vez;Con frecuencia;A veces;Nunca;Con frecuencia;Rara vez;Nunca;Nunca;Nunca;A veces;Con frecuencia;Rara vez;Con frecuencia;Con frecuencia;A veces;1;0;0;0;Mejoran;Acepto
2024/08/06 10:24:34 p.Â m. EEST;37;Spotify;1;No;No;No;Pop;No;No;Rara vez;Rara vez;Rara vez;Rara vez;Rara vez;Rara vez;Rara vez;Rara vez;A veces;Rara vez;Rara vez;Con frecuencia;Rara vez;Rara vez;Con frecuencia;Rara vez;8;0;0;4;Mejoran;Acepto
2024/08/06 10:25:23 p.Â m. EEST;31;Spotify;1;S’;No;No;Pop;No;S’;Rara vez;Nunca;Rara vez;Rara vez;Nunca;Rara vez;Rara vez;Nunca;A veces;Nunca;Rara vez;A veces;Nunca;Rara vez;A veces;Rara vez;1;2;1;2;Mejoran;Acepto
2024/08/06 10:25:58 p.Â m. EEST;23;Spotify;2;No;No;No;Pop;S’;S’;A veces;A veces;Nunca;Rara vez;Rara vez;Rara vez;A veces;Nunca;A veces;Nunca;Nunca;Con frecuencia;A veces;Rara vez;Con frecuencia;Nunca;5;1;4;1;Mejoran;Acepto
2024/08/06 10:27:45 p.Â m. EEST;29;Spotify;1;S’;No;No;Pop;No;No;A veces;Rara vez;Rara vez;A veces;Nunca;Nunca;A veces;Nunca;Con frecuencia;Rara vez;Nunca;Con frecuencia;Rara vez;Nunca;Con frecuencia;Nunca;7;7;5;0;Apenas noto efecto;Acepto
2024/08/06 10:30:17 p.Â m. EEST;24;Spotify;1;No;No;No;Pop;No;No;Con frecuencia;Nunca;Nunca;Nunca;Nunca;A veces;Rara vez;Nunca;Con frecuencia;Nunca;Nunca;Con frecuencia;A veces;A veces;Rara vez;Nunca;7;2;0;0;Mejoran;Acepto
2024/08/06 10:54:12 p.Â m. EEST;24;Spotify;1.5;No;S’;No;Pop;No;No;Con frecuencia;Nunca;Nunca;Nunca;Nunca;A veces;Nunca;A veces;Con frecuencia;Nunca;Nunca;Con frecuencia;A veces;Nunca;Rara vez;Nunca;9;4;5;6;Mejoran;Acepto
2024/08/06 10:57:19 p.Â m. EEST;28;Otros;4;S’;No;No;EDM;S’;S’;Rara vez;Nunca;Con frecuencia;Con frecuencia;Nunca;Nunca;Rara vez;Nunca;Rara vez;Nunca;Con frecuencia;Con frecuencia;Rara vez;Rara vez;A veces;Rara vez;0;5;3;0;Apenas noto efecto;Acepto
2024/08/06 11:15:36 p.Â m. EEST;33;Spotify;4;No;S’;S’;Folk;No;No;A veces;A veces;Nunca;Con frecuencia;Rara vez;Nunca;A veces;Nunca;A veces;A veces;Rara vez;Con frecuencia;Rara vez;Nunca;Con frecuencia;Nunca;3;0;3;0;Apenas noto efecto;Acepto
2024/08/06 11:18:50 p.Â m. EEST;32;Spotify;0.25;No;No;No;Rock;No;No;Rara vez;Nunca;Rara vez;Nunca;Nunca;Nunca;Nunca;Nunca;Con frecuencia;Nunca;Rara vez;Con frecuencia;Nunca;Nunca;Con frecuencia;Nunca;9;6;3;9;Apenas noto efecto;Acepto
2024/08/06 11:25:33 p.Â m. EEST;24;Spotify;3;S’;S’;No;Rock;No;S’;A veces;A veces;Rara vez;A veces;A veces;A veces;Rara vez;Nunca;Con frecuencia;Rara vez;Con frecuencia;Con frecuencia;A veces;Rara vez;Con frecuencia;Rara vez;7;4;4;0;Mejoran;Acepto
2024/08/06 11:27:47 p.Â m. EEST;28;Spotify;0.5;No;No;No;Pop;No;No;Nunca;Nunca;Rara vez;Nunca;Nunca;Rara vez;Nunca;Nunca;Con frecuencia;Nunca;Nunca;Con frecuencia;Nunca;Rara vez;A veces;Nunca;2;0;1;4;Apenas noto efecto;Acepto
2024/08/06 11:31:53 p.Â m. EEST;33;Spotify;1.5;No;No;No;Rock;S’;S’;Nunca;Nunca;Nunca;Nunca;Nunca;Rara vez;Nunca;Nunca;Nunca;Nunca;Rara vez;A veces;Nunca;Rara vez;Con frecuencia;Nunca;3;3;2;1;Mejoran;Acepto
2024/08/06 11:33:35 p.Â m. EEST;23;Spotify;0.5;No;No;No;Rock;No;No;Rara vez;Rara vez;Nunca;Nunca;Nunca;Nunca;Rara vez;Nunca;Nunca;Nunca;Rara vez;A veces;Nunca;Nunca;Con frecuencia;Nunca;6;1;5;1;Apenas noto efecto;Acepto
2024/08/06 11:48:10 p.Â m. EEST;32;Spotify;4;No;S’;S’;Lo-Fi;S’;S’;A veces;A veces;Rara vez;Con frecuencia;Rara vez;A veces;A veces;Nunca;Rara vez;Con frecuencia;Rara vez;A veces;A veces;A veces;Con frecuencia;Nunca;8;8;7;4;Apenas noto efecto;Acepto
2024/08/07 12:10:11 a.Â m. EEST;27;Spotify;2;S’;S’;S’;Rock;S’;S’;Rara vez;A veces;Nunca;A veces;A veces;Rara vez;A veces;Nunca;Nunca;Rara vez;Nunca;Rara vez;Nunca;Nunca;Con frecuencia;Nunca;8;2;2;2;Apenas noto efecto;Acepto
2024/08/07 12:20:43 a.Â m. EEST;25;Spotify;5;S’;S’;No;Hip hop;No;S’;Rara vez;Rara vez;Nunca;Nunca;Nunca;Con frecuencia;A veces;Nunca;Con frecuencia;Nunca;Rara vez;Con frecuencia;Rara vez;Con frecuencia;A veces;Rara vez;8;7;8;5;Mejoran;Acepto
2024/08/07 12:23:49 a.Â m. EEST;30;Spotify;2;S’;S’;No;Pop;No;No;Rara vez;Nunca;Nunca;Nunca;Nunca;Nunca;Nunca;Nunca;Con frecuencia;Nunca;Nunca;Con frecuencia;Rara vez;Rara vez;Rara vez;Nunca;4;1;2;8;Mejoran;Acepto
2024/08/07 12:25:31 a.Â m. EEST;27;Spotify;3;S’;No;No;Latina;S’;No;Rara vez;Nunca;A veces;Rara vez;Rara vez;A veces;Rara vez;Nunca;Con frecuencia;Nunca;Rara vez;Rara vez;A veces;A veces;A veces;Nunca;8;5;7;7;Mejoran;Acepto
2024/08/07 12:26:04 a.Â m. EEST;32;Spotify;2.5;No;S’;No;Pop;S’;S’;A veces;A veces;A veces;A veces;A veces;Rara vez;A veces;Nunca;A veces;Nunca;Rara vez;A veces;Nunca;Nunca;A veces;Nunca;7;4;5;5;Mejoran;Acepto
