date;age;stream;hours;work;instr;compose;favgenre;explore;lang;classical;country;edm;folk;gospel;hiphop;jazz;kpop;latin;lofi;metal;pop;rnb;rap;rock;videogame;anxiety;depression;insomnia;ocd;effect;Acepto
2024/08/07 12:34:36 a.Â m. EEST;25;Youtube Music;3;S’;S’;S’;Pop;No;S’;A veces;Nunca;Nunca;A veces;Rara vez;Rara vez;Nunca;Nunca;Con frecuencia;Nunca;Rara vez;Con frecuencia;Rara vez;Rara vez;A veces;Nunca;2;1;0;0;Mejoran;Acepto
2024/08/07 12:34:47 a.Â m. EEST;20;Spotify;4;S’;S’;No;Rock;S’;S’;Rara vez;Nunca;Nunca;Rara vez;Rara vez;A veces;Nunca;Nunca;Con frecuencia;Nunca;Rara vez;Con frecuencia;Con frecuencia;Con frecuencia;Con frecuencia;Nunca;5;2;7;0;Mejoran;Acepto
2024/08/07 12:36:00 a.Â m. EEST;24;Spotify;2;No;S’;No;Pop;S’;S’;A veces;Rara vez;Nunca;Rara vez;Rara vez;Nunca;Rara vez;Nunca;A veces;Nunca;Nunca;Con frecuencia;Rara vez;Nunca;Con frecuencia;Nunca;7;2;1;0;Mejoran;Acepto
2024/08/07 12:37:55 a.Â m. EEST;31;Spotify;2;No;No;No;Pop;S’;S’;A veces;A veces;Rara vez;A veces;Rara vez;A veces;Nunca;Con frecuencia;A veces;Con frecuencia;Nunca;Con frecuencia;A veces;A veces;A veces;Rara vez;10;8;9;8;Apenas noto efecto;Acepto
2024/08/07 12:39:09 a.Â m. EEST;25;Spotify;6;S’;S’;No;Rock;S’;S’;A veces;Rara vez;Nunca;Con frecuencia;Nunca;A veces;Rara vez;Nunca;Con frecuencia;Nunca;A veces;Rara vez;Nunca;Rara vez;Con frecuencia;Rara vez;2;3;6;0;Apenas noto efecto;Acepto
2024/08/07 12:39:10 a.Â m. EEST;19;Spotify;2;S’;S’;No;Pop;S’;S’;Con frecuencia;Nunca;Rara vez;Nunca;Nunca;Nunca;Nunca;Nunca;Con frecuencia;Nunca;Nunca;Con frecuencia;Nunca;Rara vez;Nunca;Nunca;3;0;2;0;Mejoran;Acepto
2024/08/07 12:47:26 a.Â m. EEST;26;Spotify;3.5;S’;S’;S’;Rock;S’;S’;Con frecuencia;A veces;Con frecuencia;Con frecuencia;A veces;A veces;A veces;Nunca;Con frecuencia;Con frecuencia;Rara vez;Con frecuencia;A veces;Rara vez;Con frecuencia;Rara vez;8;7;5;2;Apenas noto efecto;Acepto
2024/08/07 12:50:16 a.Â m. EEST;27;Spotify;2;No;S’;S’;Rock;S’;S’;A veces;A veces;A veces;Rara vez;Nunca;Rara vez;A veces;Nunca;Rara vez;A veces;A veces;Con frecuencia;Con frecuencia;A veces;Con frecuencia;Rara vez;4;4;4;10;Mejoran;Acepto
2024/08/07 12:51:15 a.Â m. EEST;27;Spotify;4;S’;S’;No;EDM;No;S’;Rara vez;Nunca;Con frecuencia;Rara vez;Nunca;Rara vez;Nunca;Nunca;Rara vez;Nunca;Con frecuencia;A veces;Rara vez;Rara vez;Con frecuencia;Nunca;7;7;3;0;Apenas noto efecto;Acepto
2024/08/07 4:15:34 a.Â m. EEST;38;Youtube Music;1;No;S’;No;Pop;S’;S’;Rara vez;Nunca;Nunca;Con frecuencia;Rara vez;Nunca;Nunca;Rara vez;A veces;Nunca;A veces;Con frecuencia;Rara vez;Nunca;Con frecuencia;Rara vez;2;1;1;0;Mejoran;Acepto
2024/08/07 8:34:25 a.Â m. EEST;29;Spotify;1;S’;No;No;Pop;No;S’;A veces;Nunca;Nunca;Nunca;Nunca;Nunca;Nunca;Nunca;Rara vez;Nunca;Nunca;Con frecuencia;Nunca;Nunca;Con frecuencia;A veces;2;1;2;1;Apenas noto efecto;Acepto
2024/08/07 11:27:02 a.Â m. EEST;25;Spotify;4;S’;No;No;R&B;S’;S’;A veces;Rara vez;Nunca;Rara vez;Rara vez;A veces;A veces;Nunca;Con frecuencia;Con frecuencia;Nunca;Con frecuencia;Con frecuencia;Con frecuencia;Con frecuencia;Nunca;7;7;5;3;Mejoran;Acepto
2024/08/07 11:59:33 a.Â m. EEST;40;Spotify;1;No;No;No;Latina;No;No;A veces;A veces;Rara vez;A veces;Rara vez;Rara vez;Rara vez;A veces;Con frecuencia;Rara vez;Rara vez;Con frecuencia;Rara vez;Rara vez;Rara vez;Nunca;6;0;0;0;Mejoran;Acepto
2024/08/07 12:01:37 p.Â m. EEST;41;Otros;0.5;No;No;No;Pop;No;S’;Rara vez;Rara vez;Nunca;Rara vez;Nunca;Nunca;Rara vez;Nunca;Con frecuencia;Nunca;Nunca;Con frecuencia;Rara vez;Nunca;A veces;Nunca;8;6;6;3;Apenas noto efecto;Acepto
2024/08/07 12:02:02 p.Â m. EEST;20;Spotify;3.5;No;No;No;Pop;S’;S’;Nunca;Nunca;Nunca;Nunca;Nunca;Rara vez;Rara vez;Nunca;A veces;Nunca;A veces;Con frecuencia;Rara vez;Nunca;Con frecuencia;Rara vez;1;0;0;0;Mejoran;Acepto
2024/08/07 12:11:07 p.Â m. EEST;29;Spotify;1.5;No;No;No;Pop;No;S’;Rara vez;Nunca;Con frecuencia;Rara vez;Nunca;A veces;Rara vez;Nunca;Con frecuencia;Nunca;Nunca;Con frecuencia;Rara vez;A veces;Con frecuencia;A veces;3;3;0;0;Mejoran;Acepto
2024/08/07 12:15:18 p.Â m. EEST;62;No suelo utilizar servicios de streaming;0.5;No;No;No;Latina;No;No;Rara vez;Rara vez;Rara vez;A veces;Nunca;A veces;Nunca;Nunca;Con frecuencia;Nunca;Nunca;A veces;Nunca;Rara vez;Rara vez;Rara vez;0;0;1;0;Apenas noto efecto;Acepto
2024/08/07 12:15:52 p.Â m. EEST;47;Spotify;1;S’;S’;No;Rock;S’;S’;Con frecuencia;Nunca;Nunca;Rara vez;Rara vez;Rara vez;Rara vez;Nunca;Rara vez;Rara vez;A veces;A veces;A veces;Nunca;Con frecuencia;Nunca;0;0;1;0;Mejoran;Acepto
2024/08/07 12:32:53 p.Â m. EEST;53;Youtube Music;1;No;No;No;Folk;S’;S’;Con frecuencia;Rara vez;Nunca;Con frecuencia;Nunca;Nunca;Rara vez;A veces;Rara vez;Rara vez;Nunca;Con frecuencia;Nunca;Nunca;A veces;Rara vez;1;0;3;0;Apenas noto efecto;Acepto
2024/08/07 12:41:58 p.Â m. EEST;25;Spotify;0.5;No;No;No;Rock;No;No;Nunca;Rara vez;Nunca;Rara vez;Nunca;A veces;Rara vez;Nunca;Con frecuencia;Nunca;Con frecuencia;Con frecuencia;Nunca;A veces;Con frecuencia;Nunca;9;3;8;9;Apenas noto efecto;Acepto
2024/08/07 12:47:29 p.Â m. EEST;51;Spotify;1;S’;No;No;Pop;S’;S’;Nunca;Rara vez;Nunca;A veces;Nunca;Nunca;Nunca;Nunca;Con frecuencia;Nunca;Nunca;Con frecuencia;Nunca;Nunca;A veces;Nunca;0;0;1;0;Apenas noto efecto;Acepto
2024/08/07 12:48:14 p.Â m. EEST;52;No suelo utilizar servicios de streaming;0.25;No;S’;No;Folk;S’;S’;A veces;Nunca;Nunca;Con frecuencia;Nunca;Nunca;Rara vez;Nunca;Rara vez;Nunca;Rara vez;A veces;Nunca;Nunca;A veces;Nunca;1;0;1;0;Mejoran;Acepto
2024/08/07 12:52:46 p.Â m. EEST;37;Spotify;1;No;S’;No;Rock;S’;S’;Rara vez;Nunca;Nunca;A veces;Nunca;Rara vez;Rara vez;Rara vez;A veces;Nunca;Nunca;Con frecuencia;Rara vez;Rara vez;Con frecuencia;Nunca;3;0;1;0;Mejoran;Acepto
2024/08/07 1:00:42 p.Â m. EEST;24;Youtube Music;1;S’;No;No;Pop;S’;No;Nunca;Rara vez;Nunca;Nunca;Nunca;Rara vez;Nunca;Nunca;Rara vez;Nunca;Nunca;Con frecuencia;Rara vez;Nunca;A veces;Nunca;1;1;2;2;Mejoran;Acepto
2024/08/07 1:12:24 p.Â m. EEST;54;No suelo utilizar servicios de streaming;0.25;No;No;No;Pop;No;No;Rara vez;Nunca;Nunca;A veces;Nunca;Nunca;Nunca;Nunca;Con frecuencia;Nunca;Nunca;Con frecuencia;Nunca;Nunca;Nunca;Nunca;5;0;0;0;Mejoran;Acepto
2024/08/07 1:13:23 p.Â m. EEST;37;Spotify;1;No;No;No;Pop;No;S’;Nunca;Rara vez;Nunca;Rara vez;Nunca;A veces;Nunca;Rara vez;Con frecuencia;Rara vez;A veces;Con frecuencia;Rara vez;Rara vez;A veces;Nunca;2;1;2;0;Mejoran;Acepto
2024/08/07 1:18:34 p.Â m. EEST;50;Youtube Music;1;S’;No;No;Rock;No;S’;Con frecuencia;Nunca;Nunca;A veces;Nunca;Nunca;Nunca;Nunca;A veces;Nunca;A veces;A veces;A veces;Rara vez;A veces;Nunca;7;5;6;0;Apenas noto efecto;Acepto
2024/08/07 1:21:11 p.Â m. EEST;57;No suelo utilizar servicios de streaming;1;S’;No;No;Folk;No;S’;A veces;Nunca;Nunca;A veces;A veces;Nunca;Nunca;Rara vez;Rara vez;Nunca;Nunca;A veces;Nunca;Nunca;Rara vez;Nunca;0;0;0;0;Mejoran;Acepto
2024/08/07 1:23:33 p.Â m. EEST;55;No suelo utilizar servicios de streaming;2;No;S’;No;Pop;S’;S’;A veces;A veces;A veces;A veces;A veces;A veces;A veces;A veces;Con frecuencia;A veces;A veces;Con frecuencia;A veces;A veces;A veces;Rara vez;3;3;1;0;Apenas noto efecto;Acepto
2024/08/07 1:26:57 p.Â m. EEST;48;Youtube Music;1;No;S’;No;ClĂˇsica;S’;No;Con frecuencia;Rara vez;Rara vez;Rara vez;A veces;Nunca;Con frecuencia;Nunca;Con frecuencia;Nunca;Nunca;Con frecuencia;Rara vez;Nunca;Con frecuencia;Nunca;6;6;6;3;Mejoran;Acepto
2024/08/07 1:32:25 p.Â m. EEST;18;Spotify;11;S’;S’;No;Pop;S’;S’;Rara vez;Rara vez;Rara vez;A veces;Rara vez;A veces;A veces;A veces;A veces;Rara vez;Rara vez;Rara vez;Rara vez;Rara vez;Rara vez;Nunca;8;1;10;8;Mejoran;Acepto
2024/08/07 1:33:05 p.Â m. EEST;54;No suelo utilizar servicios de streaming;0.5;No;No;No;Pop;No;S’;A veces;A veces;Nunca;Nunca;A veces;Nunca;A veces;Nunca;Nunca;Nunca;Rara vez;A veces;Nunca;Rara vez;A veces;Nunca;0;0;0;0;Apenas noto efecto;Acepto
2024/08/07 1:33:16 p.Â m. EEST;67;Youtube Music;1;S’;No;No;Latina;No;No;A veces;A veces;Nunca;Rara vez;Nunca;Nunca;Nunca;Nunca;Con frecuencia;Nunca;Nunca;Con frecuencia;Nunca;Nunca;Nunca;Nunca;3;0;0;0;Mejoran;Acepto
2024/08/07 1:38:56 p.Â m. EEST;59;Youtube Music;5;S’;No;No;Rock;No;S’;Con frecuencia;A veces;Rara vez;Con frecuencia;Rara vez;Nunca;A veces;Rara vez;A veces;Nunca;Con frecuencia;A veces;A veces;Nunca;Con frecuencia;Nunca;7;3;1;1;Apenas noto efecto;Acepto
2024/08/07 1:50:24 p.Â m. EEST;52;No suelo utilizar servicios de streaming;1;S’;No;No;Rock;No;S’;Rara vez;A veces;Nunca;Con frecuencia;Nunca;Nunca;Nunca;Nunca;Rara vez;Nunca;Con frecuencia;Con frecuencia;Rara vez;Rara vez;Con frecuencia;A veces;8;1;2;0;Mejoran;Acepto
2024/08/07 1:59:01 p.Â m. EEST;48;Spotify;1.5;No;No;No;Pop;S’;S’;Rara vez;Nunca;Nunca;Rara vez;Nunca;Rara vez;Nunca;A veces;A veces;Nunca;A veces;Con frecuencia;Nunca;Rara vez;Con frecuencia;Rara vez;1;1;0;0;Mejoran;Acepto
2024/08/07 2:02:27 p.Â m. EEST;44;Spotify;2;S’;No;No;Metal;S’;S’;A veces;Rara vez;Rara vez;Rara vez;Rara vez;Rara vez;Rara vez;Rara vez;Rara vez;Rara vez;Con frecuencia;Con frecuencia;Rara vez;Rara vez;Con frecuencia;Rara vez;1;1;3;0;Mejoran;Acepto
2024/08/07 2:04:30 p.Â m. EEST;38;No suelo utilizar servicios de streaming;13;No;No;No;Pop;S’;No;A veces;Nunca;Nunca;Nunca;Nunca;Rara vez;Nunca;A veces;Rara vez;Nunca;Nunca;Con frecuencia;Nunca;A veces;Nunca;Nunca;3;2;0;3;Mejoran;Acepto
2024/08/07 2:07:45 p.Â m. EEST;40;No suelo utilizar servicios de streaming;0.5;No;No;No;Pop;S’;S’;A veces;Rara vez;Nunca;Nunca;Nunca;Nunca;Nunca;Nunca;A veces;Nunca;Nunca;Con frecuencia;Nunca;Nunca;A veces;Nunca;2;1;0;0;Apenas noto efecto;Acepto
2024/08/07 2:10:02 p.Â m. EEST;51;Youtube Music;0.25;No;No;No;Latina;No;S’;Rara vez;Nunca;Nunca;Rara vez;Nunca;Nunca;Nunca;Rara vez;A veces;Nunca;Nunca;A veces;Nunca;A veces;A veces;Nunca;0;1;1;0;Mejoran;Acepto
2024/08/07 2:11:54 p.Â m. EEST;33;No suelo utilizar servicios de streaming;0.5;S’;No;No;Pop;No;No;Rara vez;Nunca;Nunca;Nunca;Nunca;Rara vez;Nunca;A veces;Con frecuencia;Nunca;Nunca;Con frecuencia;Nunca;Nunca;A veces;Rara vez;8;4;7;1;Mejoran;Acepto
2024/08/07 2:33:41 p.Â m. EEST;53;No suelo utilizar servicios de streaming;1;No;No;No;Pop;S’;S’;A veces;Nunca;Nunca;Rara vez;Nunca;Nunca;Rara vez;A veces;A veces;Nunca;Nunca;Con frecuencia;Rara vez;Rara vez;Rara vez;Rara vez;0;0;1;0;Apenas noto efecto;Acepto
2024/08/07 2:42:54 p.Â m. EEST;44;No suelo utilizar servicios de streaming;4.5;S’;S’;No;Pop;S’;S’;Rara vez;Rara vez;A veces;Con frecuencia;Rara vez;A veces;Rara vez;Con frecuencia;Con frecuencia;Rara vez;A veces;Con frecuencia;Rara vez;Rara vez;Con frecuencia;Rara vez;7;5;4;5;Apenas noto efecto;Acepto
2024/08/07 2:45:00 p.Â m. EEST;19;No suelo utilizar servicios de streaming;3;S’;S’;No;Jazz;No;S’;A veces;A veces;A veces;A veces;A veces;A veces;Con frecuencia;Rara vez;Con frecuencia;Rara vez;Rara vez;Con frecuencia;Con frecuencia;A veces;Con frecuencia;Rara vez;0;0;0;0;Mejoran;Acepto
2024/08/07 2:45:40 p.Â m. EEST;18;Spotify;1;S’;S’;S’;Folk;S’;S’;A veces;Nunca;Rara vez;A veces;Rara vez;A veces;Rara vez;Rara vez;A veces;Nunca;Nunca;A veces;Con frecuencia;Con frecuencia;A veces;Rara vez;0;0;1;0;Mejoran;Acepto
2024/08/07 2:48:20 p.Â m. EEST;51;Youtube Music;4;No;No;No;Pop;S’;S’;A veces;A veces;Rara vez;Rara vez;Rara vez;Nunca;Rara vez;Rara vez;A veces;Nunca;Nunca;Con frecuencia;Nunca;Nunca;Con frecuencia;Nunca;0;0;1;0;Mejoran;Acepto
2024/08/07 2:50:16 p.Â m. EEST;40;Youtube Music;3;S’;No;No;Pop;No;S’;Nunca;Rara vez;Rara vez;Rara vez;Rara vez;Rara vez;Rara vez;Rara vez;Con frecuencia;Rara vez;Rara vez;Con frecuencia;Rara vez;Rara vez;A veces;Nunca;5;5;1;0;Mejoran;Acepto
2024/08/07 2:52:27 p.Â m. EEST;40;Spotify;1;S’;No;No;Pop;No;S’;Rara vez;Rara vez;Rara vez;A veces;Rara vez;Rara vez;A veces;Rara vez;Rara vez;Nunca;Nunca;Con frecuencia;Rara vez;Rara vez;A veces;Nunca;1;1;3;0;Mejoran;Acepto
2024/08/07 2:57:18 p.Â m. EEST;47;Youtube Music;1;No;S’;No;Latina;S’;S’;A veces;Rara vez;Rara vez;Con frecuencia;A veces;Rara vez;Nunca;Rara vez;Con frecuencia;Nunca;A veces;Con frecuencia;Nunca;Nunca;Rara vez;Nunca;8;6;4;5;Mejoran;Acepto
2024/08/07 2:59:16 p.Â m. EEST;40;Spotify;8;S’;No;No;Rock;S’;S’;A veces;Nunca;A veces;A veces;Nunca;Rara vez;Nunca;Rara vez;A veces;A veces;Nunca;Con frecuencia;Rara vez;Rara vez;Con frecuencia;Rara vez;7;5;3;0;Mejoran;Acepto
2024/08/07 3:00:43 p.Â m. EEST;58;Youtube Music;2;No;No;No;Rock;S’;S’;Rara vez;A veces;Nunca;A veces;Rara vez;Rara vez;Nunca;Rara vez;A veces;Nunca;Con frecuencia;Con frecuencia;Nunca;Rara vez;Con frecuencia;Nunca;0;0;0;0;Apenas noto efecto;Acepto
2024/08/07 3:06:41 p.Â m. EEST;41;Youtube Music;0.25;No;No;No;Metal;No;S’;Nunca;Nunca;Nunca;Nunca;Nunca;Nunca;Nunca;Nunca;Nunca;Nunca;Con frecuencia;Nunca;Nunca;Nunca;Con frecuencia;Nunca;2;0;0;0;Apenas noto efecto;Acepto
2024/08/07 3:08:00 p.Â m. EEST;53;Spotify;3;S’;S’;No;Pop;S’;S’;Rara vez;Nunca;Nunca;A veces;Nunca;Rara vez;Nunca;Rara vez;A veces;Nunca;Rara vez;A veces;Nunca;Nunca;Nunca;Nunca;0;0;1;0;Mejoran;Acepto
2024/08/07 3:13:08 p.Â m. EEST;43;No suelo utilizar servicios de streaming;0.25;No;No;No;Rock;No;S’;A veces;Nunca;Nunca;Rara vez;Rara vez;Rara vez;A veces;Nunca;A veces;Nunca;Con frecuencia;Con frecuencia;Rara vez;Rara vez;Con frecuencia;Nunca;2;0;0;0;Mejoran;Acepto
2024/08/07 3:16:45 p.Â m. EEST;21;Spotify;2.5;S’;S’;No;EDM;No;S’;Nunca;Nunca;Con frecuencia;Nunca;Nunca;Rara vez;Nunca;Nunca;A veces;Rara vez;Rara vez;A veces;A veces;Rara vez;Rara vez;Nunca;9;4;2;3;Mejoran;Acepto
2024/08/07 3:23:39 p.Â m. EEST;52;Spotify;0.5;No;No;No;Rock;No;S’;Rara vez;Rara vez;Rara vez;A veces;Rara vez;Nunca;Rara vez;A veces;Rara vez;Nunca;Rara vez;A veces;Rara vez;Nunca;A veces;Nunca;1;1;1;1;Mejoran;Acepto
2024/08/07 3:24:30 p.Â m. EEST;56;No suelo utilizar servicios de streaming;0.5;No;No;No;Pop;S’;No;Nunca;Rara vez;Nunca;A veces;Nunca;Rara vez;Nunca;Rara vez;Rara vez;Nunca;A veces;Con frecuencia;A veces;A veces;Con frecuencia;Nunca;1;1;6;0;Mejoran;Acepto
